No.,種類,レベル,達成,項目,備考,解釈
125,全般,3,〇,ストアドがわかる,,
126,全般,3,△,ストアドの処理を追うことができる,,
127,全般,3,〇,APIがわかる,どういうものでどういう時に使われるのか,外部アプリ、サービスと連携するときにJSON形式でデータを送受信する
128,全般,3,△,APIの処理を追うことができる,,
129,全般,4,,APIが実装できる,,
130,全般,3,〇,POSTMANの使い方がわかる,APIを叩くことができる便利なツール,ＡＰＩの確認ツール
131,フロントエンド,4,〇,非同期通信（ajax）がわかる,,同期させずに処理を分けることができる
132,フロントエンド,4,〇,非同期通信（ajax）が実装できる,,jQueryで実装
133,フロントエンド,1,〇,bladeでvalueがわかる,,nameを指定するとコントローラで取得できる
134,フロントエンド,1,〇,bladeでinput type = 'hidden'がわかる,どういう時に使うのか,画面には映らないinputタグ
135,フロントエンド,1,〇,bladeでinput type = 'hidden'が実装できる,,"<input type=""hidden"">"
136,フロントエンド,1,〇,bladeでinput type = 'checkbox'が実装できる,,
137,フロントエンド,1,〇,bladeでinput type = 'button'が実装できる,,
138,フロントエンド,1,〇,bladeでinput type = 'search'が実装できる,,
139,フロントエンド,1,〇,bladeでformがわかる,何につかわれるのか,
140,フロントエンド,1,〇,bladeでformを実装できる,URLの設定,
141,フロントエンド,1,〇,bladeでformをPOST処理で実装できる,どういう時にPOSTで行うのか、POSTで時に忘れてはいけないcsrf_field(),"<form method=""POST"">"
142,フロントエンド,1,〇,bladeでformの遷移先URLを制御できる,例えば押されたボタンや状況などによってURLを変更できる,"<form method=""POST"" action=""URL"">"
143,フロントエンド,1,〇,bladeで複数formある場合にsubmitするformを制御することができる,自分がsubmitしたいformをsubmitする,
144,フロントエンド,1,〇,jsでイベントがわかる,イベントという概念やどういうイベントがあるのか,クリックやマウスオーバー
145,フロントエンド,1,〇,jsでクリックされた時の処理が実装できる,,
146,フロントエンド,1,〇,jsで画面が読み込まれた時の処理が実装できる,,
147,フロントエンド,2,〇,jsで要素の値が変更され、要素が入力フォーカスを失ったときの処理が実装できる,,
148,フロントエンド,1,〇,bladeでtableが実装できる,,
149,フロントエンド,1,〇,bladeでリストが実装できる,"ul,li",ui>li
150,フロントエンド,1,〇,bladeやjsのidがわかる,どういう時に使うのか,
151,フロントエンド,1,〇,bladeやjsのclassがわかる,どういう時に使うのか,
152,フロントエンド,1,〇,bladeやjsのnameがわかる,どういう時に使うのか,
153,全般,1,〇,"class, id, nameの違いがわかる",,
154,フロントエンド,2,〇,"bladeファイルでrepository,model等のメソッドを呼ぶことができる",,
155,フロントエンド,2,〇,"bladeファイルでrepository,model等の定数を参照する事ができる",,
156,フロントエンド,2,〇,bladeファイルの@includeがわかる,,読み込み
157,フロントエンド,2,〇,bladeファイルの@includeが実装できる,,
158,フロントエンド,4,〇,bladeファイルのレイアウト定義についてわかる,@yield()、@section()、@include(),
159,フロントエンド,1,〇,bladeファイルでif文を実装できる,三項演算子での書き方とかも,@if
160,フロントエンド,1,〇,bladeファイルでswitch文を実装できる,,
161,フロントエンド,1,〇,bladeファイルでforeach文を実装できる,"key,valueも扱える",@foreach
162,フロントエンド,1,〇,bladeファイルで変数の有無を確認できる,,
163,フロントエンド,1,〇,bladeファイルで画面に変数の中身を表示することができる,echo {{ }},<?php dd(); ?>
164,フロントエンド,1,〇,bladeファイルでjsファイルの読み込みができる,,
165,フロントエンド,1,〇,bladeファイルでcssファイルの読み込みができる,,
166,フロントエンド,2,〇,bladeファイルの@extendsがわかる,@isset、@empty,
167,フロントエンド,2,〇,bladeファイルの@extendsが実装できる,,
168,バックエンド,2,〇,Controllerファイルのextendsがわかる,,
169,バックエンド,2,〇,Controllerファイルのextendsが実装できる,,
170,バックエンド,2,〇,namespace（名前空間）がわかる,,どこの階層にあるか
171,バックエンド,2,〇,namespace（名前空間）が実装できる,,
172,全般,2,〇,use（use宣言）がわかる,なぜ使うのかがわかる,App\Http\Controllerの省略
173,全般,2,〇,use（use宣言）が実装できる,,
174,全般,2,〇,use（use宣言）したファイルを別名指定できる,as,
175,フロントエンド,1,〇,submitがわかる,,
176,フロントエンド,1,〇,submitがbaldeで実装できる,,
177,フロントエンド,1,〇,submitがjsで実装できる,,
178,フロントエンド,2,△,jsで thisがわかる,,
179,フロントエンド,2,△,jsで thisが実装できる,,
180,全般,2,〇,変数の判定（$var=1）ができる,値が入っているかどう,
181,全般,2,〇,"変数の判定（$var="""";）ができる",空判定,
182,全般,2,〇,変数の判定（$var=NULL;）ができる,NULLかどうか,
183,全般,2,〇,変数の判定コレクション型の空判定ができる,空判定,isEmpty()
184,全般,2,〇,変数の判定配列の空判定ができる,空判定,empty(配列名)
185,全般,4,〇,メンターに適切な質問ができる,自分でどう調べて何がわからなかったか,
186,全般,2,〇,トランザクションテーブルについてわかる,,
187,全般,2,〇,マスターテーブルについてわかる,マスタのこと,
188,フロントエンド,1,〇,confirmを使いこなせる,,
189,フロントエンド,1,〇,空配列を作成できる,,array = [];
190,フロントエンド,1,〇,location.hrerfがわかる,,リダイレクト
191,フロントエンド,1,〇,型の意味が分かる,,intやstring
192,フロントエンド,1,〇,クリックイベントが実装できる,,
193,フロントエンド,1,〇,フォームの要素を取得できる,,
194,フロントエンド,2,〇,バリデーションを自作できる,,
195,フロントエンド,2,〇,HTMLを操作できる,JavaScriptで,
196,フロントエンド,1,〇,JSでCSSが操作できる,,
197,フロントエンド,1,〇,JSをjQueryに書き換えられる,,
198,フロントエンド,2,〇,radioボタンからデータを取得する,,
199,フロントエンド,1,〇,正規表現を扱う,,
200,フロントエンド,1,〇,let const varの違いが説明できる,,再代入、再宣言、スコープの違い
201,フロントエンド,1,〇,三項演算子が使える,,"beverage = (age >= 21) ? ""ビール"" : ""ジュース"";"
202,フロントエンド,1,〇,"ready, loadがわかる",,すべてが読み込まれてから読み込まれる
203,フロントエンド,2,〇,"ready, loadが使える",,
204,フロントエンド,1,〇,算術演算子における％の意味が分かる,,あまり
205,フロントエンド,1,〇,"""""と''の違いがわかる",,'は変数が文字として認識されるが””は変数として認識される
206,フロントエンド,1,〇,"false,undefined,null,0,NaNの違いが判る",,
207,フロントエンド,1,〇,flexboxが使いこなせる,,
208,フロントエンド,1,〇,paddingとmarginの違いが判わかる,,要素の内側か外側か
209,フロントエンド,2,〇,"pxとem,hv,hwなどの単位が説明できる",,100hvで画面いっぱい、emはpxの何倍か
210,フロントエンド,1,〇,要素を天地中央揃えできる,,justifycontent aligin-item
211,フロントエンド,4,〇,JSプラグインのCSSカスタマイズができる,,
212,フロントエンド,2,〇,transformについて理解する,,角度とか変更できる
213,フロントエンド,3,〇,モーダルを作成できる,,
214,フロントエンド,2,〇,z-indexについて理解している,,ｚ軸のこと。３次元でいう高さ
215,フロントエンド,1,〇,floatを使わずに横並びが実装できる,,display:flex;
216,フロントエンド,2,〇,デベロッパーツールを用いてCSSの調査ができる,,
217,フロントエンド,1,〇,それぞれのタグについて説明できる,,
218,フロントエンド,1,〇,フォームを作成できる,,
219,フロントエンド,1,〇,正しい入れ子について理解している,,https://yoshikawaweb.com/element/
220,フロントエンド,1,〇,"target=""_blank""がわかる",,別タグで開く
221,フロントエンド,1,〇,inputの使い分けができる,,
222,フロントエンド,1,〇,input[type=button]とaタグの両方で送信ボタンを作成できる,,ともにＪＳで送信先設定
223,フロントエンド,1,〇,テーブルが作成できる,,
224,フロントエンド,3,〇,CSSを意識したHTMLを書くことができる,,containerやflexやカードスタイル
225,フロントエンド,3,〇,既存のHTML構造に合わせた追加を行うことができる,,階層を意識する
226,バックエンド,2,〇,認証機能を実装できる,,https://obvious-sidecar-c0d.notion.site/laravel-a658e81eab704ed786be24300fcf4e54
227,全般,1,〇,undefinedが解決できる,,定義したらOK
228,全般,1,〇,404エラーの意味が分かる,,ページがないエラー
229,全般,1,〇,〇〇 doesn`t exsitがわかる,,存在しない。大体綴りミスかuse
230,バックエンド,1,〇,ログイン後の遷移先をカスタマイズできる,,"HOME=""/""の部分をいじる"
231,バックエンド,1,〇,__constructメソッドの意味がわかる,,最初に呼び出される
232,バックエンド,1,〇,__constructメソッドが実装できる,,function __construct(){}
233,バックエンド,1,〇,カラムの追加ができる,,
234,バックエンド,1,〇,カラムの削除ができる,,
235,バックエンド,1,〇,URLから変数を取得できる,,ルートファイルとコントローラを編集
236,フロントエンド,1,〇,val()が使いこなせる,jQuery,
237,フロントエンド,1,〇,$('')で適切なセレクタが指定できる,jQuery,
238,フロントエンド,1,〇,メソッドチェーンがわかる,jQuery,.parent.prent.val()みたいなん
239,バックエンド,1,〇,try catch構文がわかる,,
240,フロントエンド,1,〇,クリックイベントが実装できる,jQuery,
241,フロントエンド,1,〇,array()と[]の違いがわかる,,array(6)は６つの空配列ができる[6]は数字の配列
242,フロントエンド,1,〇,inputイベントがわかる,jQuery,
243,フロントエンド,2,〇,labelとradioの関係性がわかる,,
244,全般,2,〇,{{ }}と{!! !!}の違いがわかる,Laravel,
245,フロントエンド,1,〇,hasClassメソッドがわかり実装できる,jQuery,
246,フロントエンド,1,〇,findメソッドがわかり実装できる,jQuery,
247,フロントエンド,1,〇,"show(),hide()メソッドが適切に使える",jQuery,
248,フロントエンド,1,〇,タグの指定された属性にアクセスできる,jQuery,
249,全般,1,〇,JavaScript(jQuery)とLaravelの連携ができる,データをお互いに渡せるか,
250,フロントエンド,1,〇,triggerメソッドがわかり実装できる,jQuery,
251,フロントエンド,1,〇,eloquentとクエリビルダの違いがわかる,,
252,フロントエンド,1,〇,セレクトタグの使い方がわかる,,
253,バックエンド,1,〇,GETとPOSTの違いがわかる,,
254,,,,,,
255,,,,,,
256,,,,,,
257,,,,,,
258,,,,,,
259,,,,,,
260,,,,,,
261,,,,,,
262,,,,,,
263,,,,,,
264,,,,,,
265,,,,,,
266,,,,,,
267,,,,,,
268,,,,,,
269,,,,,,
270,,,,,,
271,,,,,,
272,,,,,,
273,,,,,,
274,,,,,,
275,,,,,,
276,,,,,,
277,,,,,,
278,,,,,,
279,,,,,,
280,,,,,,
281,,,,,,
282,,,,,,
283,,,,,,
284,,,,,,
285,,,,,,
286,,,,,,
287,,,,,,
288,,,,,,
289,,,,,,
290,,,,,,
291,,,,,,
292,,,,,,
293,,,,,,
294,,,,,,
295,,,,,,
296,,,,,,
297,,,,,,
298,,,,,,
299,,,,,,
300,,,,,,
301,,,,,,
302,,,,,,
303,,,,,,
304,,,,,,
305,,,,,,
306,,,,,,
307,,,,,,
308,,,,,,
309,,,,,,
310,,,,,,
311,,,,,,
312,,,,,,
313,,,,,,
314,,,,,,
315,,,,,,
316,,,,,,
317,,,,,,
318,,,,,,
319,,,,,,
320,,,,,,
321,,,,,,
322,,,,,,
323,,,,,,
324,,,,,,
325,,,,,,
326,,,,,,
327,,,,,,
328,,,,,,
329,,,,,,
330,,,,,,
331,,,,,,
332,,,,,,
333,,,,,,
334,,,,,,
335,,,,,,
336,,,,,,
337,,,,,,
338,,,,,,
339,,,,,,
340,,,,,,
341,,,,,,
342,,,,,,
343,,,,,,
344,,,,,,
345,,,,,,
346,,,,,,
347,,,,,,
348,,,,,,
349,,,,,,
350,,,,,,
351,,,,,,
352,,,,,,
353,,,,,,
354,,,,,,
355,,,,,,
356,,,,,,
357,,,,,,
358,,,,,,
359,,,,,,
360,,,,,,
361,,,,,,
362,,,,,,
363,,,,,,
364,,,,,,
365,,,,,,
366,,,,,,
367,,,,,,
368,,,,,,
369,,,,,,
370,,,,,,
371,,,,,,
372,,,,,,
373,,,,,,
374,,,,,,
375,,,,,,
376,,,,,,
377,,,,,,
378,,,,,,
379,,,,,,
380,,,,,,
381,,,,,,
382,,,,,,
383,,,,,,
384,,,,,,
385,,,,,,
386,,,,,,
387,,,,,,
388,,,,,,
389,,,,,,
390,,,,,,
391,,,,,,
392,,,,,,
393,,,,,,
394,,,,,,
395,,,,,,
396,,,,,,
397,,,,,,
398,,,,,,
399,,,,,,
400,,,,,,
401,,,,,,
402,,,,,,
403,,,,,,
404,,,,,,
405,,,,,,
406,,,,,,
407,,,,,,
408,,,,,,
409,,,,,,
410,,,,,,
411,,,,,,
412,,,,,,
413,,,,,,
414,,,,,,
415,,,,,,
416,,,,,,
417,,,,,,
418,,,,,,
419,,,,,,
420,,,,,,
421,,,,,,
422,,,,,,
423,,,,,,
424,,,,,,
425,,,,,,
426,,,,,,
427,,,,,,
428,,,,,,
429,,,,,,
430,,,,,,
431,,,,,,
432,,,,,,
433,,,,,,
434,,,,,,
435,,,,,,
436,,,,,,
437,,,,,,
438,,,,,,
439,,,,,,
440,,,,,,
441,,,,,,
442,,,,,,
443,,,,,,
444,,,,,,
445,,,,,,
446,,,,,,
447,,,,,,
448,,,,,,
449,,,,,,
450,,,,,,
451,,,,,,
452,,,,,,
453,,,,,,
454,,,,,,
455,,,,,,
456,,,,,,
457,,,,,,
458,,,,,,
459,,,,,,
460,,,,,,
461,,,,,,
462,,,,,,
463,,,,,,
464,,,,,,
465,,,,,,
466,,,,,,
467,,,,,,
468,,,,,,
469,,,,,,
470,,,,,,
471,,,,,,
472,,,,,,
473,,,,,,
474,,,,,,
475,,,,,,
476,,,,,,
477,,,,,,
478,,,,,,
479,,,,,,
480,,,,,,
481,,,,,,
482,,,,,,
483,,,,,,
484,,,,,,
485,,,,,,
486,,,,,,
487,,,,,,
488,,,,,,
489,,,,,,
490,,,,,,
491,,,,,,
492,,,,,,
493,,,,,,
494,,,,,,
495,,,,,,
496,,,,,,
497,,,,,,
498,,,,,,
499,,,,,,
500,,,,,,
501,,,,,,
502,,,,,,
503,,,,,,
504,,,,,,
505,,,,,,
506,,,,,,
507,,,,,,
508,,,,,,
509,,,,,,
510,,,,,,
511,,,,,,
512,,,,,,
513,,,,,,
514,,,,,,
515,,,,,,
516,,,,,,
517,,,,,,
518,,,,,,
519,,,,,,
520,,,,,,
521,,,,,,
522,,,,,,
523,,,,,,
524,,,,,,
525,,,,,,
526,,,,,,
527,,,,,,
528,,,,,,
529,,,,,,
530,,,,,,
531,,,,,,
532,,,,,,
533,,,,,,
534,,,,,,
535,,,,,,
536,,,,,,
537,,,,,,
538,,,,,,
539,,,,,,
540,,,,,,
541,,,,,,
542,,,,,,
543,,,,,,
544,,,,,,
545,,,,,,
546,,,,,,
547,,,,,,
548,,,,,,
549,,,,,,
550,,,,,,
551,,,,,,
552,,,,,,
553,,,,,,
554,,,,,,
555,,,,,,
556,,,,,,
557,,,,,,
558,,,,,,
559,,,,,,
560,,,,,,
561,,,,,,
562,,,,,,
563,,,,,,
564,,,,,,
565,,,,,,
566,,,,,,
567,,,,,,
568,,,,,,
569,,,,,,
570,,,,,,
571,,,,,,
572,,,,,,
573,,,,,,
574,,,,,,
575,,,,,,
576,,,,,,
577,,,,,,
578,,,,,,
579,,,,,,
580,,,,,,
581,,,,,,
582,,,,,,
583,,,,,,
584,,,,,,
585,,,,,,
586,,,,,,
587,,,,,,
588,,,,,,
589,,,,,,
590,,,,,,
591,,,,,,
592,,,,,,
593,,,,,,
594,,,,,,
595,,,,,,
596,,,,,,
597,,,,,,
598,,,,,,
599,,,,,,
600,,,,,,
601,,,,,,
602,,,,,,
603,,,,,,
604,,,,,,
605,,,,,,
606,,,,,,
607,,,,,,
608,,,,,,
609,,,,,,
610,,,,,,
611,,,,,,
612,,,,,,
613,,,,,,
614,,,,,,
615,,,,,,
616,,,,,,
617,,,,,,
618,,,,,,
619,,,,,,
620,,,,,,
621,,,,,,
622,,,,,,
623,,,,,,
624,,,,,,
625,,,,,,
626,,,,,,
627,,,,,,
628,,,,,,
629,,,,,,
630,,,,,,
631,,,,,,
632,,,,,,
633,,,,,,
634,,,,,,
635,,,,,,
636,,,,,,
637,,,,,,
638,,,,,,
639,,,,,,
640,,,,,,
641,,,,,,
642,,,,,,
643,,,,,,
644,,,,,,
645,,,,,,
646,,,,,,
647,,,,,,
648,,,,,,
649,,,,,,
650,,,,,,
651,,,,,,
652,,,,,,
653,,,,,,
654,,,,,,
655,,,,,,
656,,,,,,
657,,,,,,
658,,,,,,
659,,,,,,
660,,,,,,
661,,,,,,
662,,,,,,
663,,,,,,
664,,,,,,
665,,,,,,
666,,,,,,
667,,,,,,
668,,,,,,
669,,,,,,
670,,,,,,
671,,,,,,
672,,,,,,
673,,,,,,
674,,,,,,
675,,,,,,
676,,,,,,
677,,,,,,
678,,,,,,
679,,,,,,
680,,,,,,
681,,,,,,
682,,,,,,
683,,,,,,
684,,,,,,
685,,,,,,
686,,,,,,
687,,,,,,
688,,,,,,
689,,,,,,
690,,,,,,
691,,,,,,
692,,,,,,
693,,,,,,
694,,,,,,
695,,,,,,
696,,,,,,
697,,,,,,
698,,,,,,
699,,,,,,
700,,,,,,
701,,,,,,
702,,,,,,
703,,,,,,
704,,,,,,
705,,,,,,
706,,,,,,
707,,,,,,
708,,,,,,
709,,,,,,
710,,,,,,
711,,,,,,
712,,,,,,
713,,,,,,
714,,,,,,
715,,,,,,
716,,,,,,
717,,,,,,
718,,,,,,
719,,,,,,
720,,,,,,
721,,,,,,
722,,,,,,
723,,,,,,
724,,,,,,
725,,,,,,
726,,,,,,
727,,,,,,
728,,,,,,
729,,,,,,
730,,,,,,
731,,,,,,
732,,,,,,
733,,,,,,
734,,,,,,
735,,,,,,
736,,,,,,
737,,,,,,
738,,,,,,
739,,,,,,
740,,,,,,
741,,,,,,
742,,,,,,
743,,,,,,
744,,,,,,
745,,,,,,
746,,,,,,
747,,,,,,
748,,,,,,
749,,,,,,
750,,,,,,
751,,,,,,
752,,,,,,
